date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42 |
2012-01-11 | 1
2012-01-11 | 2147483648
2011-13-01 | 10
2011-00-10 | 5
2011-02-29 | 1
2012-02-29 | 1
2012-02-30 | 1
2011-04-31 | 1
abcd-ef-gh | 1
20110101 | 1
2011-1-01 | 1
2011-01-1 | 1
2011-01-03 | -0.01
2011-01-03 | 1000.0
2011-01-03 | 1000.01
2011-01-03 | 0
2011-01-03 | abc
2011-01-03 | 1e3
2011-01-03 | 123abc
| 10
2011-01-03 | 
2011-01-03 10
2011-01-03||10
2011-01-03 | 1
2011-01-03 | 2
2000-01-01 | 1
2030-01-01 | 1
 2011-01-03 | 1
2011-01-03|  2
2011-01-03    |3
2011-01-03 | 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2011-01-03 | 0.000000000000000000000000000000000000000000001
2011-01-03 | 0.0000000000000000000000000000000000000000000001
2021-01-02 | 1

2009-01-02 | 0.1
